Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
25/01/2012,577.51,578.71,566.38,569.49,9965400,0,1,289.6491191,290.250977,284.0668873,285.6267023,9965400
26/01/2012,571.98,574.48,564.55,568.1,6445900,0,1,286.8755574,288.1294279,283.149054,284.9295502,6445900
27/01/2012,570.78,580.32,569.33,579.98,7227700,0,1,286.2736995,291.0584696,285.5464546,290.8879432,7227700
30/01/2012,578.05,580,573.4,577.69,4656300,0,1,289.9199551,290.8979742,287.5877559,289.7393978,4656300
31/01/2012,583,584,575.15,580.11,4280500,0,1,292.4026189,292.9041671,288.4654653,290.9531445,4280500
01/02/2012,584.94,585.5,579.14,580.83,4636700,0,1,293.3756224,293.6564895,290.4666427,291.3142592,4636700
02/02/2012,584.87,586.41,582.08,585.11,4824500,0,1,293.3405141,294.1128983,291.9411945,293.4608856,4824500
03/02/2012,590.66,597.07,588.05,596.33,6330600,0,1,296.2444783,299.4594025,294.9354374,299.0882568,6330600
06/02/2012,595.01,610.83,594.01,609.09,7351800,0,1,298.4262131,306.3607062,297.9246649,305.4880122,7351800
07/02/2012,607.15,609.39,603.7622,606.77,4180000,0,1,304.5150087,305.6384767,302.8158636,304.3244203,4180000
08/02/2012,608.64,611.35,604.7417,609.85,3669100,0,1,305.2623155,306.6215112,303.3071301,305.8691889,3669100
09/02/2012,612.02,614.5,609,611.46,4524800,0,1,306.9575485,308.2013882,305.4428729,306.6766815,4524800
10/02/2012,607.88,608.13,604,605.91,4645700,0,1,304.8811389,305.0065259,302.9351317,303.8930889,4645700
13/02/2012,610.5,613.8385,610.02,612.2,3628900,0,1,306.1951952,307.869614,305.9544521,307.0478272,3628900
14/02/2012,611.54,612,604.76,609.76,3603700,0,1,306.7168054,306.9475176,303.3163084,305.8240495,3603700
15/02/2012,612.93,612.93,602.56,605.56,4846900,0,1,307.4139574,307.4139574,302.2129023,303.717547,4846900
16/02/2012,602.82,608.81,597.73,606.52,5056700,0,1,302.3433048,305.3475787,299.7904243,304.1990333,5056700
17/02/2012,604.97,607.63,602.4,604.64,4893300,0,1,303.4216335,304.7557518,302.1326546,303.2561226,4893300
21/02/2012,603.87,617.88,602.88,614,4956600,0,1,302.8699305,309.8966212,302.3733977,307.950614,4956600
22/02/2012,611.96,616.78,606.71,607.94,3930000,0,1,306.9274557,309.3449181,304.2943274,304.9112318,3930000
23/02/2012,605.6512,607.94,600.35,606.11,4105800,0,1,303.7632882,304.9112318,301.1044807,303.9933985,4105800
24/02/2012,607.35,611.65,605.51,609.9,3867300,0,1,304.6153183,306.7719757,303.6924696,305.8942663,3867300
27/02/2012,606.59,612.36,605.06,609.31,3624100,0,1,304.2341417,307.1280749,303.4667729,305.5983528,3624100
28/02/2012,610,619.77,607.68,618.39,5689500,0,1,305.9444211,310.8445473,304.7808292,310.1524108,5689500
29/02/2012,618.6,625.6,615.5,618.25,6267500,0,1,310.2577359,313.7685735,308.7029364,310.082194,6267500
01/03/2012,622.26,625.7,618.15,622.4,4470900,0,1,312.0934024,313.8187284,310.0320392,312.1636192,4470900
02/03/2012,622,624,620.32,621.25,3143400,0,1,311.9629999,312.9660964,311.1203989,311.5868387,3143400
05/03/2012,620.43,622.49,611.38,614.25,3183400,0,1,311.1755692,312.2087585,306.6365577,308.0760011,3183400
06/03/2012,608.05,608.81,593.84,604.96,6342400,0,1,304.9664021,305.3475787,297.8394017,303.416618,6342400
07/03/2012,609.05,611.1878,605.86,606.8,2526400,0,1,305.4679503,306.5401601,303.8680114,304.3394668,2526400
08/03/2012,610.04,611.5,606.35,607.14,2688300,0,1,305.964483,306.6967435,304.1137701,304.5099932,2688300
09/03/2012,607.95,611.9,600,600.25,5335800,0,1,304.9162472,306.8973628,300.9289388,301.0543259,5335800
12/03/2012,600,607,599.26,605.15,3334600,0,1,300.9289388,304.4397764,300.5577931,303.5119122,3334600
13/03/2012,608.75,617.85,605.552,617.78,4487100,0,1,305.3174858,309.8815747,303.7135346,309.8464664,4487100
14/03/2012,615,622.78,613.46,615.99,5867900,0,1,308.4521623,312.3542075,307.679778,308.948695,5867900
15/03/2012,616.6,623.5,614.83,621.13,4865300,0,1,309.2546394,312.7153222,308.3668991,311.5266529,4865300
16/03/2012,620.89,625.908,620.05,625.04,6094800,0,1,311.4062814,313.9230504,310.9849808,313.4877065,6094800
